device,event,event_detail,count,first_seen,last_seen,risk_level,recommendation
R3,Interface Flapping,Interface GigabitEthernet0/3 flapped 2 times in short period,2,2025-10-18 09:23:05,2025-10-18 09:36:03,Medium,Check physical cable and SFP transceivers on interface GigabitEthernet0/3.
R1,Interface Flapping,Interface GigabitEthernet0/1 flapped 6 times in short period,6,2025-10-17 08:00:00,2025-10-20 09:25:05,Medium,Check physical cable and SFP transceivers on interface GigabitEthernet0/1.
R2,Interface Flapping,Interface GigabitEthernet0/2 flapped 3 times in short period,3,2025-10-19 07:02:09,2025-10-19 07:43:55,Medium,Check physical cable and SFP transceivers on interface GigabitEthernet0/2.
R4,Critical CPU Spike,CPU reached critical threshold of 95.0%,2,2025-10-18 09:59:00,2025-10-20 09:59:53,Critical,Investigate high-CPU process immediately; check control plane traffic.
R2,High CPU Utilization,Multiple CPU spikes (>80%) detected (2 times),2,2025-10-17 09:05:00,2025-10-19 07:36:12,High,Monitor router processes and traffic load.
R1,High CPU Utilization,Multiple CPU spikes (>80%) detected (4 times),4,2025-10-17 08:38:21,2025-10-20 09:33:19,High,Monitor router processes and traffic load.
R3,Repeated SNMP Auth Failures,Multiple unauthorized SNMP attempts from IP 10.0.6.10,3,2025-10-18 09:04:12,2025-10-18 09:05:12,High,Verify NMS community string or block untrusted IP 10.0.6.10 via ACL.
R1,Repeated SNMP Auth Failures,Multiple unauthorized SNMP attempts from IP 10.0.3.55,3,2025-10-19 07:41:09,2025-10-19 07:42:09,High,Verify NMS community string or block untrusted IP 10.0.3.55 via ACL.
R4,Repeated SNMP Auth Failures,Multiple unauthorized SNMP attempts from IP 10.0.8.81,3,2025-10-19 07:48:21,2025-10-19 07:49:21,High,Verify NMS community string or block untrusted IP 10.0.8.81 via ACL.
R1,Repeated SNMP Auth Failures,Multiple unauthorized SNMP attempts from IP 10.0.2.55,3,2025-10-17 08:46:03,2025-10-17 08:47:03,High,Verify NMS community string or block untrusted IP 10.0.2.55 via ACL.
R3,Thermal Alarm Recovery,Temperature alarm recovered after 0.95 minutes,1,2025-10-18 09:10:12,2025-10-18 09:11:09,Medium,Check chassis ventilation and cooling fan health.
R3,Thermal Alarm Recovery,Temperature alarm recovered after 0.78 minutes,1,2025-10-18 09:43:28,2025-10-18 09:44:15,Medium,Check chassis ventilation and cooling fan health.
R4,Thermal Alarm Recovery,Temperature alarm recovered after 0.83 minutes,1,2025-10-18 09:51:09,2025-10-18 09:51:59,Medium,Check chassis ventilation and cooling fan health.
R4,Thermal Alarm Recovery,Temperature alarm recovered after 0.75 minutes,1,2025-10-20 09:31:26,2025-10-20 09:32:11,Medium,Check chassis ventilation and cooling fan health.
R4,Thermal Alarm Recovery,Temperature alarm recovered after 0.82 minutes,1,2025-10-20 10:06:03,2025-10-20 10:06:52,Medium,Check chassis ventilation and cooling fan health.
R1,Thermal Alarm Recovery,Temperature alarm recovered after 0.63 minutes,1,2025-10-19 07:06:55,2025-10-19 07:07:33,Medium,Check chassis ventilation and cooling fan health.
R1,Thermal Alarm Recovery,Temperature alarm recovered after 0.9 minutes,1,2025-10-20 09:54:41,2025-10-20 09:55:35,Medium,Check chassis ventilation and cooling fan health.
